year,quarter,yq,total,hit,rate,excess,delve_rate
2015,1,2015.0,3620,36,0.009944751381215469,0.0,0.0
2015,2,2015.25,3633,43,0.011835948252133223,0.0,0.0
2015,3,2015.5,3733,37,0.00991159924993303,0.0,0.0
2015,4,2015.75,3952,51,0.012904858299595142,0.0,0.0005060728744939271
2016,1,2016.0,3706,34,0.009174311926605505,0.0,0.0
2016,2,2016.25,3726,38,0.010198604401502952,0.0,0.00026838432635534085
2016,3,2016.5,3863,36,0.009319181982914834,0.0,0.0
2016,4,2016.75,3884,42,0.010813594232749742,0.0,0.0
2017,1,2017.0,3613,43,0.01190146692499308,0.0,0.0
2017,2,2017.25,3611,46,0.012738853503184714,0.0,0.0
2017,3,2017.5,3735,42,0.011244979919678716,0.0,0.0002677376171352075
2017,4,2017.75,4178,48,0.011488750598372427,0.0,0.0
2018,1,2018.0,3795,44,0.011594202898550725,0.0,0.0
2018,2,2018.25,3994,45,0.011266900350525789,0.0,0.0
2018,3,2018.5,3977,43,0.010812169977369876,0.0,0.0
2018,4,2018.75,4181,64,0.01530734274097106,0.0003572262465568188,0.00023917723032767282
2019,1,2019.0,4148,62,0.014946962391513982,0.0,0.0
2019,2,2019.25,3979,51,0.012817290776577029,0.0,0.0
2019,3,2019.5,4382,61,0.013920584208124144,0.0,0.00022820629849383843
2019,4,2019.75,4093,52,0.012704617639872955,0.0,0.0002443195699975568
2020,1,2020.0,3777,46,0.012178978024887478,0.0,0.0
2020,2,2020.25,4352,69,0.015854779411764705,0.0009046629173504635,0.00022977941176470588
2020,3,2020.5,4512,67,0.014849290780141845,0.0,0.00022163120567375886
2020,4,2020.75,4648,78,0.016781411359724614,0.0018312948653103726,0.0002151462994836489
2021,1,2021.0,4096,72,0.017578125,0.0026280085055857584,0.000244140625
2021,2,2021.25,4077,74,0.018150600932057885,0.0032004844376436435,0.0004905567819475104
2021,3,2021.5,4387,81,0.018463642580351037,0.0035135260859367953,0.0006838386140870754
2021,4,2021.75,4558,92,0.020184291355857833,0.005234174861443591,0.00043878894251864854
2022,1,2022.0,4068,77,0.018928220255653883,0.003978103761239641,0.0004916420845624386
2022,2,2022.25,4146,70,0.01688374336710082,0.00193362687268658,0.000482392667631452
2022,3,2022.5,4452,95,0.02133872416891285,0.006388607674498607,0.0011230907457322552
2022,4,2022.75,4476,103,0.023011617515638964,0.008061501021224722,0.0013404825737265416
2023,1,2023.0,4266,94,0.02203469292076887,0.007084576426354627,0.00046882325363338024
2023,2,2023.25,4297,125,0.02909006283453572,0.01413994634012148,0.0013963230160577147
2023,3,2023.5,4702,167,0.035516801361122924,0.020566684866708682,0.002339430029774564
2023,4,2023.75,4738,199,0.04200084423807514,0.027050727743660897,0.002532714225411566
2024,1,2024.0,4408,240,0.0544464609800363,0.03949634448562206,0.004310344827586207
2024,2,2024.25,4905,294,0.0599388379204893,0.04498872142607506,0.004281345565749235
2024,3,2024.5,4808,281,0.058444259567387684,0.043494143072973446,0.0022878535773710484
2024,4,2024.75,5105,277,0.05426052889324192,0.03931041239882768,0.0015670910871694416
2025,1,2025.0,4932,303,0.06143552311435523,0.046485406619940994,0.0032441200324412004
2025,2,2025.25,5094,313,0.06144483706321162,0.046494720568797374,0.0019630938358853552
2025,3,2025.5,5832,338,0.057956104252400546,0.04300598775798631,0.0008573388203017832
2025,4,2025.75,6011,314,0.05223756446514723,0.037287447970732995,0.000998170021627017
2026,1,2026.0,5455,218,0.03996333638863428,0.025013219894220038,0.0005499541704857929
2026,2,2026.25,6008,288,0.047936085219707054,0.032985968725292816,0.0004993342210386152
2026,3,2026.5,634,23,0.03627760252365931,0.021327486029245068,0.0
