bigram,base_freq,rec_freq,abs_excess,ratio,base_n,rec_n
desi dr,0.0,0.0065214746319503586,0.0065214746319503586,6521475.631950359,0,268
little red,0.0,0.00489110597396277,0.00489110597396277,4891106.97396277,0,201
worlds observatory,0.0,0.0034067404793770534,0.0034067404793770534,3406741.479377053,0,140
dots lrds,0.0,0.0031390680131402845,0.0031390680131402845,3139069.013140284,0,129
recent jwst,0.0,0.0030904002920063268,0.0030904002920063268,3090401.2920063264,0,127
desi bao,0.0,0.003041732570872369,0.003041732570872369,3041733.5708723688,0,125
findings underscore,0.0,0.002457719917264874,0.002457719917264874,2457720.9172648736,0,101
observatory hwo,0.0,0.0022143813115950844,0.0022143813115950844,2214382.311595084,0,91
present jwst,0.0,0.0020927120087601897,0.0020927120087601897,2092713.0087601894,0,86
of lrds,0.0,0.0018250395425234212,0.0018250395425234212,1825040.542523421,0,75
nirspec g,0.0,0.001581700936853632,0.001581700936853632,1581701.9368536316,0,65
i atlas,0.0,0.0015573670762866528,0.0015573670762866528,1557368.0762866526,0,64
cosmos web,0.0,0.0013626961917508212,0.0013626961917508212,1362697.191750821,0,56
recent desi,0.0,0.0013626961917508212,0.0013626961917508212,1362697.191750821,0,56
sn ixf,0.0,0.0013383623311838423,0.0013383623311838423,1338363.3311838422,0,55
large language,0.0,0.0013140284706168633,0.0013140284706168633,1314029.470616863,0,54
new jwst,0.0,0.0012653607494829055,0.0012653607494829055,1265361.7494829053,0,52
language models,0.0,0.0012410268889159264,0.0012410268889159264,1241027.8889159262,0,51
transformer based,0.0,0.0012166930283489476,0.0012166930283489476,1216694.0283489474,0,50
jwst imaging,0.0,0.0011923591677819687,0.0011923591677819687,1192360.1677819686,0,49
lrds are,0.0,0.0011436914466480107,0.0011436914466480107,1143692.4466480105,0,47
xp spectra,0.0,0.0010950237255140528,0.0010950237255140528,1095024.7255140527,0,45
desi baryon,0.0,0.0010950237255140528,0.0010950237255140528,1095024.7255140527,0,45
miri imaging,0.0,0.001022022143813116,0.001022022143813116,1022023.1438131158,0,42
ep a,0.0,0.001022022143813116,0.001022022143813116,1022023.1438131158,0,42
nircam photometry,0.0,0.000997688283246137,0.000997688283246137,997689.283246137,0,41
gs z,0.0,0.0008516851198442633,0.0008516851198442633,851686.1198442633,0,35
a transformer,0.0,0.0008273512592772844,0.0008273512592772844,827352.2592772844,0,34
