arxiv_id,reason
2506.08086,explicit denial of use
2502.18045,explicit denial of use
2503.24319,explicit denial of use
2410.21974,explicit denial of use
2503.10765,explicit denial of use
2511.10782,explicit denial of use
2512.14747,explicit denial of use
2601.02482,explicit denial of use
2602.00155,explicit denial of use
2603.13510,explicit denial of use
2604.09182,explicit denial of use
2605.16917,explicit denial of use
2606.29435,explicit denial of use
2406.17301,"non-support statement, no use claim"
2402.18431,"non-support statement, no use claim"
2506.05674,"non-support statement, no use claim"
2303.14137,"research subject or commentary, not authorial use"
2310.08103,"research subject or commentary, not authorial use"
2312.02091,"research subject or commentary, not authorial use"
2403.08851,"research subject or commentary, not authorial use"
2408.02895,"research subject or commentary, not authorial use"
2409.20252,"research subject or commentary, not authorial use"
2504.08583,"research subject or commentary, not authorial use"
2504.01645,"research subject or commentary, not authorial use"
2602.24087,"research subject or commentary, not authorial use"
2412.08490,"research subject or commentary, not authorial use"
2510.00063,"research subject or commentary, not authorial use"
2510.03493,"research subject or commentary, not authorial use"
2510.09967,"research subject or commentary, not authorial use"
2510.12213,"research subject or commentary, not authorial use"
2512.11202,"research subject or commentary, not authorial use"
2601.15949,"research subject or commentary, not authorial use"
2605.11154,"research subject or commentary, not authorial use"
