word,base_df,base_slope,disc_df,val_df,disc_ratio,val_ratio,in_dict,is_seed,is_control,disc_rank
delve,0.0027243559532985854,0.05013440196989262,0.027120158488039812,0.014761483884172602,7.186265547341718,3.538301744219954,True,True,False,1
vera,0.005598114619316972,-0.020650836390850833,0.034070850904809366,0.05193009233461743,6.960440601547567,11.056303074315938,True,False,False,2
underscores,0.0036968823579655806,-0.007305794192546358,0.02330395973851829,0.05865310354456743,6.610247495437711,16.88203235662081,False,True,False,3
pid,0.003938757880248745,-0.015997057423024614,0.021708810389989137,0.03409938574025617,6.115543502284412,9.918373478134436,False,False,False,4
underscore,0.0020747434816704843,0.023825287811404007,0.013703047272309993,0.04040163784712738,5.657128001548646,15.903160384086876,True,True,False,5
ppta,0.0020918147925186167,-0.05455945475477081,0.0074041587445727,0.006493985904320926,5.046254474005206,4.936220007055126,False,False,False,6
heightened,0.0020194791991504112,-0.02212585811910734,0.0082801952556475,0.008097361063038197,4.734352508813559,4.839291626969765,False,False,False,7
comprehend,0.0026552731502757373,-0.012249782922379198,0.01156264925914808,0.00475796335628326,4.7155052567783144,1.988529327943042,True,False,False,8
csa,0.0025674011303215495,-0.036467239755588535,0.008939514482374957,0.013385913976603034,4.413306508708091,7.108422455134683,False,False,False,9
epta,0.002210116682828824,-0.003255193394189002,0.009127787348909351,0.010107844767626443,4.218319225797778,4.70175415750023,False,False,False,10
dated,0.00490029970367629,-0.04612110026340441,0.014520373978473528,0.02910178068803995,3.998996879757173,8.789276064442626,False,False,False,11
prompting,0.002315073089174289,-0.01624779316772605,0.007727155913987836,0.010664515384842296,3.709548841341161,5.288776290209328,False,False,False,12
intricacies,0.002390079920268778,-0.002524634589782021,0.008550736442980204,0.004703559146765694,3.6367874851067454,2.010637983812284,False,True,False,13
predehl,0.0025639763561955973,-0.022000302475732203,0.007997244052938095,0.005947503700182509,3.5985811309280837,2.796629211174769,False,False,False,14
eazy,0.0033974919072684963,-0.059194979077858124,0.007652953609548135,0.009637165634328107,3.3095808336406023,4.691474292501439,False,False,False,15
signifying,0.00506765524647358,-0.013240813680663446,0.014934886921142167,0.01184835149496214,3.211977960911706,2.6165520124102657,False,False,False,16
