word,base_df,base_slope,disc_df,val_df,disc_ratio,val_ratio,in_dict,is_seed,is_control,disc_rank,n_docs,topic_entropy,top_share
delve,0.0027243559532985,0.0501344019698926,0.0271201584880398,0.0147614838841726,7.186265547341718,3.538301744219954,True,True,False,1,1159,0.9675492005768913,0.21267017601027496
vera,0.0055981146193169,-0.0206508363908508,0.0340708509048093,0.0519300923346174,6.960440601547567,11.056303074315938,True,False,False,2,2180,0.9383264372281894,0.28326165425996985
underscores,0.0036968823579655,-0.0073057941925463,0.0233039597385182,0.0586531035445674,6.610247495437711,16.88203235662081,False,True,False,3,2290,0.9859806174080896,0.19389790075000873
pid,0.0039387578802487,-0.0159970574230246,0.0217088103899891,0.0340993857402561,6.115543502284412,9.918373478134436,False,False,False,4,3949,0.9834921846374962,0.19602981452622809
underscore,0.0020747434816704,0.023825287811404,0.0137030472723099,0.0404016378471273,5.657128001548646,15.903160384086876,True,True,False,5,1627,0.9872813650744128,0.1848077381176352
ppta,0.0020918147925186,-0.0545594547547708,0.0074041587445727,0.0064939859043209,5.046254474005206,4.936220007055126,False,False,False,6,340,0.6536253910806188,0.4620021702475929
heightened,0.0020194791991504,-0.0221258581191073,0.0082801952556475,0.0080973610630381,4.734352508813559,4.839291626969765,False,False,False,7,490,0.9783079847705884,0.1846101504125604
comprehend,0.0026552731502757,-0.0122497829223791,0.011562649259148,0.0047579633562832,4.715505256778314,1.988529327943042,True,False,False,8,422,0.9867675892562184,0.15965771085421718
csa,0.0025674011303215,-0.0364672397555885,0.0089395144823749,0.013385913976603,4.413306508708091,7.108422455134683,False,False,False,9,1242,0.8578871455826311,0.3355863591200229
epta,0.0022101166828288,-0.003255193394189,0.0091277873489093,0.0101078447676264,4.218319225797778,4.70175415750023,False,False,False,10,548,0.7297485866587188,0.41284800385747233
dated,0.0049002997036762,-0.0461211002634044,0.0145203739784735,0.0291017806880399,3.998996879757173,8.789276064442626,False,False,False,11,1683,0.9295467325230505,0.22315039056238062
prompting,0.0023150730891742,-0.016247793167726,0.0077271559139878,0.0106645153848422,3.709548841341161,5.288776290209328,False,False,False,12,527,0.9795312029038613,0.19744350999401258
intricacies,0.0023900799202687,-0.002524634589782,0.0085507364429802,0.0047035591467656,3.6367874851067454,2.010637983812284,False,True,False,13,397,0.9774567294076809,0.2084716462149856
predehl,0.0025639763561955,-0.0220003024757322,0.007997244052938,0.0059475037001825,3.598581130928084,2.796629211174769,False,False,False,14,386,0.9065212256385468,0.24153951118207506
eazy,0.0033974919072684,-0.0591949790778581,0.0076529536095481,0.0096371656343281,3.3095808336406023,4.691474292501439,False,False,False,15,405,0.6411998686529958,0.4572959812311855
signifying,0.0050676552464735,-0.0132408136806634,0.0149348869211421,0.0118483514949621,3.211977960911706,2.6165520124102657,False,False,False,16,695,0.9870990102951894,0.16044087860003142
starforming,0.003041887256371,-0.0469945307174939,0.0071005450253216,0.012205936049241,3.168181817146064,5.982854379723836,False,False,False,17,746,0.7495338526509524,0.5293631008469694
necessitating,0.0046893739495719,0.0334659002328255,0.0180065933480369,0.0267322943553777,3.08919503070593,4.289255272179996,False,False,False,18,1339,0.9669580841765477,0.2076095867106509
