marker,q,quarter,year,obs_rate,bg_rate,pi,assisted_rate,excess_ratio
delve,0,2015Q1,2015,6.201264154274696e-07,3.6077561296253864e-07,0.0,,1.7188701041493644
delve,1,2015Q2,2015,4.789917902113499e-07,3.7577904198528356e-07,0.0,,1.2746633970877717
delve,2,2015Q3,2015,3.053710980826229e-07,3.9140641252278846e-07,0.0,,0.7801893078715044
delve,3,2015Q4,2015,3.8108600704687306e-07,4.076836721776494e-07,0.0,,0.9347590621211184
delve,4,2016Q1,2016,4.832611516904035e-07,4.24637847624881e-07,0.0,,1.138054825761338
delve,5,2016Q2,2016,4.2726234557457047e-07,4.422970894868652e-07,0.0,,0.9660075902155779
delve,6,2016Q3,2016,4.1462586090322344e-07,4.606907190744937e-07,0.0,,0.9000091465619008
delve,7,2016Q4,2016,4.759454964668781e-07,4.798492770721187e-07,0.0,,0.9918645691641755
delve,8,2017Q1,2017,4.3822382799118766e-07,4.998045742471374e-07,0.0,,0.8767903508111953
delve,9,2017Q2,2017,6.788373146010439e-07,5.205897442684238e-07,0.0,,1.3039775025821971
delve,10,2017Q3,2017,8.048165645142652e-07,5.422392987212934e-07,0.0,,1.4842461002221354
delve,11,2017Q4,2017,5.382135876018348e-07,5.647891844103592e-07,0.0,,0.9529459884465221
delve,12,2018Q1,2018,2.06248462159904e-07,5.882768430454086e-07,0.0,,0.35059762184788884
delve,13,2018Q2,2018,4.5846995738063274e-07,6.127412734094219e-07,0.0,,0.7482276407293554
delve,14,2018Q3,2018,5.968400423326705e-07,6.382230961119415e-07,0.0,,0.9351589529877926
delve,15,2018Q4,2018,6.209700187273599e-07,6.64764621035319e-07,0.0,,0.9341201367790115
delve,16,2019Q1,2019,3.843354258219369e-07,6.924099175858122e-07,0.0,,0.5550692098142935
delve,17,2019Q2,2019,4.5181745264642473e-07,7.212048878661956e-07,0.0,,0.626475860394127
delve,18,2019Q3,2019,7.219659884710695e-07,7.511973428913645e-07,0.0,,0.961086983737478
delve,19,2019Q4,2019,3.7826997442109884e-06,7.824370819734944e-07,0.0,,4.834509804507361
delve,20,2020Q1,2020,8.153287346346714e-07,8.149759754085447e-07,0.0066251231857163,8.682216609962893e-07,1.0004328461657412
delve,21,2020Q2,2020,8.47612866254742e-07,8.488680506014251e-07,0.0082047179568557,6.958848093390884e-07,0.9985213433986663
delve,22,2020Q3,2020,5.015023687987502e-06,8.84169581772815e-07,0.0099446543138359,0.00041626855357865743,5.6720156306803355
delve,23,2020Q4,2020,8.715843922557743e-07,9.209391833965698e-07,0.0120938189286729,-3.1600538785866616e-06,0.9464081971637179
delve,24,2021Q1,2021,8.707753186476155e-06,9.592379075228866e-07,0.0134601634650189,0.000576622029751811,9.077782600317425
