word,group,year,quarter,yq,n,total,freq
boasts,strong,2015,1,2015.0,0,3620,0.0
boasts,strong,2015,2,2015.25,1,3633,0.0002752546105147261
boasts,strong,2015,3,2015.5,1,3733,0.0002678810608090008
boasts,strong,2015,4,2015.75,0,3952,0.0
boasts,strong,2016,1,2016.0,0,3706,0.0
boasts,strong,2016,2,2016.25,0,3726,0.0
boasts,strong,2016,3,2016.5,0,3863,0.0
boasts,strong,2016,4,2016.75,0,3884,0.0
boasts,strong,2017,1,2017.0,0,3613,0.0
boasts,strong,2017,2,2017.25,0,3611,0.0
boasts,strong,2017,3,2017.5,0,3735,0.0
boasts,strong,2017,4,2017.75,1,4178,0.00023934897079942556
boasts,strong,2018,1,2018.0,0,3795,0.0
boasts,strong,2018,2,2018.25,0,3994,0.0
boasts,strong,2018,3,2018.5,1,3977,0.00025144581342720644
boasts,strong,2018,4,2018.75,0,4181,0.0
boasts,strong,2019,1,2019.0,0,4148,0.0
boasts,strong,2019,2,2019.25,0,3979,0.0
boasts,strong,2019,3,2019.5,1,4382,0.00022820629849383843
boasts,strong,2019,4,2019.75,1,4093,0.0002443195699975568
boasts,strong,2020,1,2020.0,0,3777,0.0
boasts,strong,2020,2,2020.25,1,4352,0.00022977941176470588
boasts,strong,2020,3,2020.5,0,4512,0.0
boasts,strong,2020,4,2020.75,0,4648,0.0
boasts,strong,2021,1,2021.0,0,4096,0.0
boasts,strong,2021,2,2021.25,0,4077,0.0
boasts,strong,2021,3,2021.5,1,4387,0.00022794620469569182
boasts,strong,2021,4,2021.75,0,4558,0.0
boasts,strong,2022,1,2022.0,0,4068,0.0
boasts,strong,2022,2,2022.25,0,4146,0.0
boasts,strong,2022,3,2022.5,1,4452,0.00022461814914645105
boasts,strong,2022,4,2022.75,0,4476,0.0
boasts,strong,2023,1,2023.0,1,4266,0.00023441162681669012
boasts,strong,2023,2,2023.25,0,4297,0.0
boasts,strong,2023,3,2023.5,1,4702,0.0002126754572522331
boasts,strong,2023,4,2023.75,1,4738,0.00021105951878429716
boasts,strong,2024,1,2024.0,1,4408,0.00022686025408348456
boasts,strong,2024,2,2024.25,3,4905,0.0006116207951070336
boasts,strong,2024,3,2024.5,1,4808,0.00020798668885191348
boasts,strong,2024,4,2024.75,0,5105,0.0
boasts,strong,2025,1,2025.0,1,4932,0.00020275750202757503
boasts,strong,2025,2,2025.25,0,5094,0.0
boasts,strong,2025,3,2025.5,1,5832,0.00017146776406035664
boasts,strong,2025,4,2025.75,0,6011,0.0
boasts,strong,2026,1,2026.0,0,5455,0.0
boasts,strong,2026,2,2026.25,0,6008,0.0
boasts,strong,2026,3,2026.5,1,634,0.0015772870662460567
comprehensive,soft,2015,1,2015.0,42,3620,0.011602209944751382
comprehensive,soft,2015,2,2015.25,42,3633,0.011560693641618497
comprehensive,soft,2015,3,2015.5,46,3733,0.012322528797214037
comprehensive,soft,2015,4,2015.75,46,3952,0.011639676113360324
comprehensive,soft,2016,1,2016.0,41,3706,0.011063140852671344
comprehensive,soft,2016,2,2016.25,47,3726,0.01261406333870102
comprehensive,soft,2016,3,2016.5,33,3863,0.008542583484338596
comprehensive,soft,2016,4,2016.75,62,3884,0.01596292481977343
comprehensive,soft,2017,1,2017.0,45,3613,0.012455023526155549
comprehensive,soft,2017,2,2017.25,47,3611,0.013015785101080033
comprehensive,soft,2017,3,2017.5,44,3735,0.01178045515394913
comprehensive,soft,2017,4,2017.75,55,4178,0.013164193393968406
comprehensive,soft,2018,1,2018.0,51,3795,0.013438735177865613
comprehensive,soft,2018,2,2018.25,53,3994,0.013269904857285929
comprehensive,soft,2018,3,2018.5,42,3977,0.01056072416394267
comprehensive,soft,2018,4,2018.75,57,4181,0.01363310212867735
comprehensive,soft,2019,1,2019.0,73,4148,0.01759884281581485
comprehensive,soft,2019,2,2019.25,62,3979,0.0155818044734858
comprehensive,soft,2019,3,2019.5,71,4382,0.01620264719306253
comprehensive,soft,2019,4,2019.75,43,4093,0.010505741509894943
comprehensive,soft,2020,1,2020.0,46,3777,0.012178978024887478
comprehensive,soft,2020,2,2020.25,66,4352,0.015165441176470588
comprehensive,soft,2020,3,2020.5,69,4512,0.015292553191489361
comprehensive,soft,2020,4,2020.75,65,4648,0.013984509466437178
comprehensive,soft,2021,1,2021.0,56,4096,0.013671875
comprehensive,soft,2021,2,2021.25,57,4077,0.013980868285504048
comprehensive,soft,2021,3,2021.5,61,4387,0.013904718486437201
comprehensive,soft,2021,4,2021.75,63,4558,0.013821851689337429
comprehensive,soft,2022,1,2022.0,77,4068,0.018928220255653883
comprehensive,soft,2022,2,2022.25,45,4146,0.01085383502170767
comprehensive,soft,2022,3,2022.5,76,4452,0.017070979335130278
comprehensive,soft,2022,4,2022.75,87,4476,0.01943699731903485
comprehensive,soft,2023,1,2023.0,63,4266,0.014767932489451477
comprehensive,soft,2023,2,2023.25,79,4297,0.018384919711426577
comprehensive,soft,2023,3,2023.5,126,4702,0.02679710761378137
comprehensive,soft,2023,4,2023.75,136,4738,0.028704094554664415
comprehensive,soft,2024,1,2024.0,142,4408,0.03221415607985481
comprehensive,soft,2024,2,2024.25,155,4905,0.03160040774719674
comprehensive,soft,2024,3,2024.5,137,4808,0.028494176372712145
comprehensive,soft,2024,4,2024.75,170,5105,0.03330068560235064
comprehensive,soft,2025,1,2025.0,184,4932,0.0373073803730738
comprehensive,soft,2025,2,2025.25,192,5094,0.03769140164899882
comprehensive,soft,2025,3,2025.5,234,5832,0.040123456790123455
comprehensive,soft,2025,4,2025.75,260,6011,0.043254034270504074
comprehensive,soft,2026,1,2026.0,216,5455,0.03959670027497709
comprehensive,soft,2026,2,2026.25,240,6008,0.03994673768308921
comprehensive,soft,2026,3,2026.5,25,634,0.03943217665615142
crucial,soft,2015,1,2015.0,74,3620,0.020441988950276244
crucial,soft,2015,2,2015.25,62,3633,0.01706578585191302
crucial,soft,2015,3,2015.5,68,3733,0.018215912135012054
crucial,soft,2015,4,2015.75,73,3952,0.01847165991902834
crucial,soft,2016,1,2016.0,67,3706,0.01807879114948732
crucial,soft,2016,2,2016.25,84,3726,0.02254428341384863
crucial,soft,2016,3,2016.5,70,3863,0.01812063163344551
crucial,soft,2016,4,2016.75,82,3884,0.021112255406797117
crucial,soft,2017,1,2017.0,86,3613,0.02380293384998616
crucial,soft,2017,2,2017.25,83,3611,0.022985322625311548
crucial,soft,2017,3,2017.5,96,3735,0.02570281124497992
crucial,soft,2017,4,2017.75,81,4178,0.019387266634753472
crucial,soft,2018,1,2018.0,78,3795,0.020553359683794466
crucial,soft,2018,2,2018.25,99,3994,0.024787180771156735
crucial,soft,2018,3,2018.5,78,3977,0.019612773447322103
crucial,soft,2018,4,2018.75,110,4181,0.026309495336044007
crucial,soft,2019,1,2019.0,128,4148,0.03085824493731919
crucial,soft,2019,2,2019.25,95,3979,0.023875345564212114
crucial,soft,2019,3,2019.5,113,4382,0.025787311729803742
crucial,soft,2019,4,2019.75,97,4093,0.02369899828976301
crucial,soft,2020,1,2020.0,90,3777,0.023828435266084195
crucial,soft,2020,2,2020.25,105,4352,0.02412683823529412
crucial,soft,2020,3,2020.5,132,4512,0.02925531914893617
crucial,soft,2020,4,2020.75,138,4648,0.029690189328743545
crucial,soft,2021,1,2021.0,122,4096,0.02978515625
crucial,soft,2021,2,2021.25,94,4077,0.02305616875153299
crucial,soft,2021,3,2021.5,123,4387,0.028037383177570093
crucial,soft,2021,4,2021.75,172,4558,0.03773584905660377
crucial,soft,2022,1,2022.0,108,4068,0.02654867256637168
crucial,soft,2022,2,2022.25,121,4146,0.029184756391702846
crucial,soft,2022,3,2022.5,137,4452,0.03077268643306379
crucial,soft,2022,4,2022.75,125,4476,0.027926720285969615
crucial,soft,2023,1,2023.0,160,4266,0.03750586029067042
crucial,soft,2023,2,2023.25,163,4297,0.03793344193623458
crucial,soft,2023,3,2023.5,208,4702,0.04423649510846448
crucial,soft,2023,4,2023.75,206,4738,0.043478260869565216
crucial,soft,2024,1,2024.0,200,4408,0.045372050816696916
crucial,soft,2024,2,2024.25,262,4905,0.05341488277268094
crucial,soft,2024,3,2024.5,271,4808,0.05636439267886855
crucial,soft,2024,4,2024.75,343,5105,0.06718903036238981
crucial,soft,2025,1,2025.0,318,4932,0.06447688564476886
crucial,soft,2025,2,2025.25,291,5094,0.05712603062426384
crucial,soft,2025,3,2025.5,292,5832,0.050068587105624146
crucial,soft,2025,4,2025.75,300,6011,0.04990850108135086
crucial,soft,2026,1,2026.0,251,5455,0.046012832263978
crucial,soft,2026,2,2026.25,241,6008,0.04011318242343542
crucial,soft,2026,3,2026.5,29,634,0.04574132492113565
delve,strong,2015,1,2015.0,0,3620,0.0
delve,strong,2015,2,2015.25,0,3633,0.0
delve,strong,2015,3,2015.5,0,3733,0.0
delve,strong,2015,4,2015.75,1,3952,0.00025303643724696357
delve,strong,2016,1,2016.0,0,3706,0.0
delve,strong,2016,2,2016.25,1,3726,0.00026838432635534085
delve,strong,2016,3,2016.5,0,3863,0.0
delve,strong,2016,4,2016.75,0,3884,0.0
delve,strong,2017,1,2017.0,0,3613,0.0
delve,strong,2017,2,2017.25,0,3611,0.0
delve,strong,2017,3,2017.5,1,3735,0.0002677376171352075
delve,strong,2017,4,2017.75,0,4178,0.0
delve,strong,2018,1,2018.0,0,3795,0.0
delve,strong,2018,2,2018.25,0,3994,0.0
delve,strong,2018,3,2018.5,0,3977,0.0
delve,strong,2018,4,2018.75,1,4181,0.00023917723032767282
delve,strong,2019,1,2019.0,0,4148,0.0
delve,strong,2019,2,2019.25,0,3979,0.0
delve,strong,2019,3,2019.5,1,4382,0.00022820629849383843
delve,strong,2019,4,2019.75,1,4093,0.0002443195699975568
delve,strong,2020,1,2020.0,0,3777,0.0
delve,strong,2020,2,2020.25,0,4352,0.0
delve,strong,2020,3,2020.5,1,4512,0.00022163120567375886
delve,strong,2020,4,2020.75,0,4648,0.0
delve,strong,2021,1,2021.0,1,4096,0.000244140625
delve,strong,2021,2,2021.25,2,4077,0.0004905567819475104
delve,strong,2021,3,2021.5,2,4387,0.00045589240939138365
delve,strong,2021,4,2021.75,2,4558,0.00043878894251864854
delve,strong,2022,1,2022.0,2,4068,0.0004916420845624386
delve,strong,2022,2,2022.25,2,4146,0.000482392667631452
delve,strong,2022,3,2022.5,5,4452,0.0011230907457322552
delve,strong,2022,4,2022.75,3,4476,0.0006702412868632708
delve,strong,2023,1,2023.0,1,4266,0.00023441162681669012
delve,strong,2023,2,2023.25,4,4297,0.0009308820107051431
delve,strong,2023,3,2023.5,7,4702,0.0014887282007656317
delve,strong,2023,4,2023.75,10,4738,0.002110595187842972
delve,strong,2024,1,2024.0,13,4408,0.0029491833030852997
delve,strong,2024,2,2024.25,11,4905,0.002242609582059123
delve,strong,2024,3,2024.5,5,4808,0.0010399334442595673
delve,strong,2024,4,2024.75,4,5105,0.0007835455435847208
delve,strong,2025,1,2025.0,9,4932,0.0018248175182481751
delve,strong,2025,2,2025.25,7,5094,0.0013741656851197488
delve,strong,2025,3,2025.5,4,5832,0.0006858710562414266
delve,strong,2025,4,2025.75,3,6011,0.0004990850108135085
delve,strong,2026,1,2026.0,1,5455,0.00018331805682859762
delve,strong,2026,2,2026.25,3,6008,0.0004993342210386152
delve,strong,2026,3,2026.5,0,634,0.0
delves,strong,2015,1,2015.0,0,3620,0.0
delves,strong,2015,2,2015.25,0,3633,0.0
delves,strong,2015,3,2015.5,0,3733,0.0
delves,strong,2015,4,2015.75,1,3952,0.00025303643724696357
delves,strong,2016,1,2016.0,0,3706,0.0
delves,strong,2016,2,2016.25,0,3726,0.0
delves,strong,2016,3,2016.5,0,3863,0.0
delves,strong,2016,4,2016.75,0,3884,0.0
delves,strong,2017,1,2017.0,0,3613,0.0
delves,strong,2017,2,2017.25,0,3611,0.0
delves,strong,2017,3,2017.5,0,3735,0.0
delves,strong,2017,4,2017.75,0,4178,0.0
delves,strong,2018,1,2018.0,0,3795,0.0
delves,strong,2018,2,2018.25,0,3994,0.0
delves,strong,2018,3,2018.5,0,3977,0.0
delves,strong,2018,4,2018.75,0,4181,0.0
delves,strong,2019,1,2019.0,0,4148,0.0
delves,strong,2019,2,2019.25,0,3979,0.0
delves,strong,2019,3,2019.5,0,4382,0.0
delves,strong,2019,4,2019.75,0,4093,0.0
delves,strong,2020,1,2020.0,0,3777,0.0
delves,strong,2020,2,2020.25,0,4352,0.0
delves,strong,2020,3,2020.5,0,4512,0.0
delves,strong,2020,4,2020.75,0,4648,0.0
delves,strong,2021,1,2021.0,0,4096,0.0
delves,strong,2021,2,2021.25,0,4077,0.0
delves,strong,2021,3,2021.5,1,4387,0.00022794620469569182
delves,strong,2021,4,2021.75,0,4558,0.0
delves,strong,2022,1,2022.0,0,4068,0.0
delves,strong,2022,2,2022.25,0,4146,0.0
delves,strong,2022,3,2022.5,0,4452,0.0
delves,strong,2022,4,2022.75,2,4476,0.00044682752457551384
delves,strong,2023,1,2023.0,1,4266,0.00023441162681669012
delves,strong,2023,2,2023.25,2,4297,0.00046544100535257155
delves,strong,2023,3,2023.5,2,4702,0.0004253509145044662
delves,strong,2023,4,2023.75,2,4738,0.00042211903756859433
delves,strong,2024,1,2024.0,7,4408,0.001588021778584392
delves,strong,2024,2,2024.25,7,4905,0.0014271151885830785
delves,strong,2024,3,2024.5,5,4808,0.0010399334442595673
delves,strong,2024,4,2024.75,4,5105,0.0007835455435847208
delves,strong,2025,1,2025.0,7,4932,0.001419302514193025
delves,strong,2025,2,2025.25,3,5094,0.0005889281507656066
delves,strong,2025,3,2025.5,1,5832,0.00017146776406035664
delves,strong,2025,4,2025.75,1,6011,0.00016636167027116953
delves,strong,2026,1,2026.0,1,5455,0.00018331805682859762
delves,strong,2026,2,2026.25,0,6008,0.0
delves,strong,2026,3,2026.5,0,634,0.0
delving,strong,2015,1,2015.0,0,3620,0.0
delving,strong,2015,2,2015.25,0,3633,0.0
delving,strong,2015,3,2015.5,0,3733,0.0
delving,strong,2015,4,2015.75,0,3952,0.0
delving,strong,2016,1,2016.0,0,3706,0.0
delving,strong,2016,2,2016.25,0,3726,0.0
delving,strong,2016,3,2016.5,0,3863,0.0
delving,strong,2016,4,2016.75,0,3884,0.0
delving,strong,2017,1,2017.0,0,3613,0.0
delving,strong,2017,2,2017.25,0,3611,0.0
delving,strong,2017,3,2017.5,0,3735,0.0
delving,strong,2017,4,2017.75,0,4178,0.0
delving,strong,2018,1,2018.0,0,3795,0.0
delving,strong,2018,2,2018.25,0,3994,0.0
delving,strong,2018,3,2018.5,0,3977,0.0
delving,strong,2018,4,2018.75,0,4181,0.0
delving,strong,2019,1,2019.0,0,4148,0.0
delving,strong,2019,2,2019.25,0,3979,0.0
delving,strong,2019,3,2019.5,0,4382,0.0
delving,strong,2019,4,2019.75,0,4093,0.0
delving,strong,2020,1,2020.0,0,3777,0.0
delving,strong,2020,2,2020.25,1,4352,0.00022977941176470588
delving,strong,2020,3,2020.5,0,4512,0.0
delving,strong,2020,4,2020.75,1,4648,0.0002151462994836489
delving,strong,2021,1,2021.0,0,4096,0.0
delving,strong,2021,2,2021.25,0,4077,0.0
delving,strong,2021,3,2021.5,0,4387,0.0
delving,strong,2021,4,2021.75,0,4558,0.0
delving,strong,2022,1,2022.0,0,4068,0.0
delving,strong,2022,2,2022.25,0,4146,0.0
delving,strong,2022,3,2022.5,0,4452,0.0
delving,strong,2022,4,2022.75,1,4476,0.00022341376228775692
delving,strong,2023,1,2023.0,0,4266,0.0
delving,strong,2023,2,2023.25,0,4297,0.0
delving,strong,2023,3,2023.5,2,4702,0.0004253509145044662
delving,strong,2023,4,2023.75,0,4738,0.0
delving,strong,2024,1,2024.0,1,4408,0.00022686025408348456
delving,strong,2024,2,2024.25,3,4905,0.0006116207951070336
delving,strong,2024,3,2024.5,1,4808,0.00020798668885191348
delving,strong,2024,4,2024.75,0,5105,0.0
delving,strong,2025,1,2025.0,0,4932,0.0
delving,strong,2025,2,2025.25,0,5094,0.0
delving,strong,2025,3,2025.5,0,5832,0.0
delving,strong,2025,4,2025.75,2,6011,0.00033272334054233906
delving,strong,2026,1,2026.0,1,5455,0.00018331805682859762
delving,strong,2026,2,2026.25,0,6008,0.0
delving,strong,2026,3,2026.5,0,634,0.0
