word,year,n,total,freq
boasts,2015,2,14938,0.00013388673182487614
boasts,2016,0,15179,0.0
boasts,2017,1,15137,6.606328863050802e-05
boasts,2018,1,15947,6.270771932024833e-05
boasts,2019,2,16602,0.00012046741356463077
boasts,2020,1,17289,5.784024524263983e-05
boasts,2021,1,17118,5.8418039490594695e-05
boasts,2022,1,17142,5.8336250145840624e-05
boasts,2023,3,18003,0.00016663889351774705
boasts,2024,5,19226,0.00026006449599500674
boasts,2025,2,21869,9.1453655859893e-05
boasts,2026,1,12097,8.266512358435976e-05
comprehensive,2015,176,14938,0.011782032400589101
comprehensive,2016,183,15179,0.012056130179853745
comprehensive,2017,191,15137,0.012618088128427032
comprehensive,2018,203,15947,0.01272966702201041
comprehensive,2019,249,16602,0.014998192988796531
comprehensive,2020,246,17289,0.014228700329689398
comprehensive,2021,237,17118,0.013845075359270943
comprehensive,2022,285,17142,0.01662583129156458
comprehensive,2023,404,18003,0.022440704327056603
comprehensive,2024,604,19226,0.031415791116196815
comprehensive,2025,870,21869,0.039782340299053455
comprehensive,2026,481,12097,0.03976192444407704
crucial,2015,277,14938,0.018543312357745347
crucial,2016,303,15179,0.019961789314184072
crucial,2017,346,15137,0.022857897866155778
crucial,2018,365,15947,0.02288831755189064
crucial,2019,433,16602,0.026081195036742562
crucial,2020,465,17289,0.02689571403782752
crucial,2021,511,17118,0.029851618179693888
crucial,2022,491,17142,0.028643098821607746
crucial,2023,737,18003,0.04093762150752652
crucial,2024,1076,19226,0.05596587953812546
crucial,2025,1201,21869,0.05491792034386574
crucial,2026,521,12097,0.04306852938745143
delve,2015,1,14938,6.694336591243807e-05
delve,2016,1,15179,6.588049278608604e-05
delve,2017,1,15137,6.606328863050802e-05
delve,2018,1,15947,6.270771932024833e-05
delve,2019,2,16602,0.00012046741356463077
delve,2020,1,17289,5.784024524263983e-05
delve,2021,7,17118,0.0004089262764341629
delve,2022,12,17142,0.0007000350017500875
delve,2023,22,18003,0.0012220185524634782
delve,2024,33,19226,0.0017164256735670445
delve,2025,23,21869,0.0010517170423887696
delve,2026,4,12097,0.000330660494337439
delves,2015,1,14938,6.694336591243807e-05
delves,2016,0,15179,0.0
delves,2017,0,15137,0.0
delves,2018,0,15947,0.0
delves,2019,0,16602,0.0
delves,2020,0,17289,0.0
delves,2021,1,17118,5.8418039490594695e-05
delves,2022,2,17142,0.00011667250029168125
delves,2023,7,18003,0.0003888240848747431
delves,2024,23,19226,0.001196296681577031
delves,2025,12,21869,0.000548721935159358
delves,2026,1,12097,8.266512358435976e-05
delving,2015,0,14938,0.0
delving,2016,0,15179,0.0
delving,2017,0,15137,0.0
delving,2018,0,15947,0.0
delving,2019,0,16602,0.0
delving,2020,2,17289,0.00011568049048527966
delving,2021,0,17118,0.0
delving,2022,1,17142,5.8336250145840624e-05
delving,2023,2,18003,0.00011109259567849802
delving,2024,5,19226,0.00026006449599500674
delving,2025,2,21869,9.1453655859893e-05
delving,2026,1,12097,8.266512358435976e-05
elucidate,2015,32,14938,0.0021421877091980183
elucidate,2016,25,15179,0.001647012319652151
elucidate,2017,31,15137,0.002047961947545749
elucidate,2018,24,15947,0.0015049852636859597
elucidate,2019,29,16602,0.0017467774966871462
elucidate,2020,20,17289,0.0011568049048527966
elucidate,2021,48,17118,0.0028040658955485456
elucidate,2022,35,17142,0.002041768755104422
elucidate,2023,47,18003,0.0026106759984447035
elucidate,2024,90,19226,0.004681160927910121
elucidate,2025,66,21869,0.003017970643376469
elucidate,2026,25,12097,0.002066628089608994
encompass,2015,13,14938,0.000870263756861695
encompass,2016,11,15179,0.0007246854206469464
encompass,2017,15,15137,0.0009909493294576203
encompass,2018,17,15947,0.0010660312284442215
encompass,2019,12,16602,0.0007228044813877846
encompass,2020,23,17289,0.0013303256405807161
encompass,2021,21,17118,0.0012267788293024886
encompass,2022,14,17142,0.0008167075020417688
encompass,2023,23,18003,0.0012775648503027272
encompass,2024,46,19226,0.002392593363154062
encompass,2025,41,21869,0.0018747999451278064
encompass,2026,14,12097,0.0011573117301810366
encompasses,2015,16,14938,0.0010710938545990091
encompasses,2016,16,15179,0.0010540878845773766
encompasses,2017,7,15137,0.0004624430204135562
encompasses,2018,26,15947,0.0016304007023264565
encompasses,2019,14,16602,0.0008432718949524154
encompasses,2020,20,17289,0.0011568049048527966
encompasses,2021,26,17118,0.0015188690267554622
encompasses,2022,33,17142,0.0019250962548127406
encompasses,2023,32,18003,0.0017774815308559684
encompasses,2024,50,19226,0.002600644959950068
encompasses,2025,46,21869,0.002103434084777539
encompasses,2026,21,12097,0.0017359675952715549
galaxy,2015,2807,14938,0.18791002811621368
galaxy,2016,2853,15179,0.18795704591870346
galaxy,2017,2877,15137,0.1900640813899716
galaxy,2018,2977,15947,0.18668088041637926
galaxy,2019,3063,16602,0.184495843874232
galaxy,2020,3107,17289,0.17970964196888195
galaxy,2021,3046,17118,0.17794134828835145
galaxy,2022,3181,17142,0.18556761171391903
galaxy,2023,3431,18003,0.19057934788646336
galaxy,2024,3725,19226,0.19374804951628002
galaxy,2025,4264,21869,0.19497919429329189
galaxy,2026,2324,12097,0.1921137472100521
garner,2015,0,14938,0.0
garner,2016,0,15179,0.0
garner,2017,0,15137,0.0
garner,2018,0,15947,0.0
garner,2019,0,16602,0.0
garner,2020,0,17289,0.0
garner,2021,0,17118,0.0
garner,2022,1,17142,5.8336250145840624e-05
garner,2023,1,18003,5.554629783924901e-05
garner,2024,2,19226,0.00010402579839800271
garner,2025,0,21869,0.0
garner,2026,0,12097,0.0
harness,2015,1,14938,6.694336591243807e-05
harness,2016,1,15179,6.588049278608604e-05
harness,2017,4,15137,0.0002642531545220321
harness,2018,2,15947,0.00012541543864049665
harness,2019,3,16602,0.00018070112034694616
harness,2020,4,17289,0.00023136098097055932
harness,2021,5,17118,0.00029209019745297346
harness,2022,10,17142,0.0005833625014584063
harness,2023,5,18003,0.00027773148919624506
harness,2024,13,19226,0.0006761676895870176
harness,2025,16,21869,0.000731629246879144
harness,2026,5,12097,0.0004133256179217988
harnessing,2015,1,14938,6.694336591243807e-05
harnessing,2016,0,15179,0.0
harnessing,2017,1,15137,6.606328863050802e-05
harnessing,2018,2,15947,0.00012541543864049665
harnessing,2019,5,16602,0.00030116853391157694
harnessing,2020,3,17289,0.00017352073572791948
harnessing,2021,4,17118,0.00023367215796237878
harnessing,2022,8,17142,0.000466690001166725
harnessing,2023,11,18003,0.0006110092762317391
harnessing,2024,6,19226,0.0003120773951940081
harnessing,2025,6,21869,0.000274360967579679
harnessing,2026,0,12097,0.0
holistic,2015,3,14938,0.00020083009773731424
holistic,2016,3,15179,0.00019764147835825812
holistic,2017,1,15137,6.606328863050802e-05
holistic,2018,1,15947,6.270771932024833e-05
holistic,2019,9,16602,0.0005421033610408384
holistic,2020,7,17289,0.0004048817166984788
holistic,2021,6,17118,0.0003505082369435682
holistic,2022,6,17142,0.00035001750087504374
holistic,2023,14,18003,0.0007776481697494862
holistic,2024,10,19226,0.0005201289919900135
holistic,2025,15,21869,0.0006859024189491974
holistic,2026,7,12097,0.0005786558650905183
insights,2015,100,14938,0.006694336591243808
insights,2016,116,15179,0.007642137163185981
insights,2017,110,15137,0.007266961749355883
insights,2018,166,15947,0.010409481407161221
insights,2019,202,16602,0.012167208770027707
insights,2020,157,17289,0.009080918503094454
insights,2021,192,17118,0.011216263582194182
insights,2022,199,17142,0.011608913779022284
insights,2023,389,18003,0.021607509859467865
insights,2024,739,19226,0.038437532508062
insights,2025,1048,21869,0.04792171567058393
insights,2026,393,12097,0.032487393568653385
intricacies,2015,2,14938,0.00013388673182487614
intricacies,2016,0,15179,0.0
intricacies,2017,3,15137,0.00019818986589152407
intricacies,2018,4,15947,0.0002508308772809933
intricacies,2019,0,16602,0.0
intricacies,2020,3,17289,0.00017352073572791948
intricacies,2021,2,17118,0.00011683607898118939
intricacies,2022,6,17142,0.00035001750087504374
intricacies,2023,7,18003,0.0003888240848747431
intricacies,2024,8,19226,0.00041610319359201083
intricacies,2025,6,21869,0.000274360967579679
intricacies,2026,1,12097,8.266512358435976e-05
intricate,2015,11,14938,0.0007363770250368188
intricate,2016,6,15179,0.00039528295671651623
intricate,2017,13,15137,0.0008588227521966043
intricate,2018,13,15947,0.0008152003511632282
intricate,2019,7,16602,0.0004216359474762077
intricate,2020,16,17289,0.0009254439238822373
intricate,2021,12,17118,0.0007010164738871364
intricate,2022,15,17142,0.0008750437521876093
intricate,2023,44,18003,0.0024440371049269565
intricate,2024,104,19226,0.0054093415166961405
intricate,2025,60,21869,0.0027436096757967898
intricate,2026,43,12097,0.0035546003141274695
leverage,2015,10,14938,0.0006694336591243808
leverage,2016,13,15179,0.0008564464062191185
leverage,2017,19,15137,0.0012552024839796525
leverage,2018,23,15947,0.0014422775443657114
leverage,2019,28,16602,0.0016865437899048308
leverage,2020,19,17289,0.0010989646596101567
leverage,2021,35,17118,0.0020446313821708144
leverage,2022,43,17142,0.0025084587562711467
leverage,2023,79,18003,0.004388157529300672
leverage,2024,109,19226,0.005669406012691148
leverage,2025,124,21869,0.005670126663313366
leverage,2026,59,12097,0.0048772422914772256
leveraging,2015,3,14938,0.00020083009773731424
leveraging,2016,9,15179,0.0005929244350747744
leveraging,2017,13,15137,0.0008588227521966043
leveraging,2018,13,15947,0.0008152003511632282
leveraging,2019,17,16602,0.0010239730152993615
leveraging,2020,24,17289,0.0013881658858233559
leveraging,2021,34,17118,0.00198621334268022
leveraging,2022,42,17142,0.002450122506125306
leveraging,2023,97,18003,0.005387990890407155
leveraging,2024,225,19226,0.011702902319775305
leveraging,2025,307,21869,0.014038136174493576
leveraging,2026,119,12097,0.009837149706538812
measured,2015,1238,14938,0.08287588699959834
measured,2016,1274,15179,0.08393174780947361
measured,2017,1226,15137,0.08099359186100284
measured,2018,1312,15947,0.0822725277481658
measured,2019,1334,16602,0.08035176484760873
measured,2020,1351,17289,0.0781421713228064
measured,2021,1382,17118,0.08073373057600187
measured,2022,1333,17142,0.07776222144440556
measured,2023,1364,18003,0.07576515025273566
measured,2024,1474,19226,0.076667013419328
measured,2025,1501,21869,0.0686359687228497
measured,2026,772,12097,0.06381747540712573
meticulous,2015,0,14938,0.0
meticulous,2016,2,15179,0.00013176098557217208
meticulous,2017,2,15137,0.00013212657726101605
meticulous,2018,1,15947,6.270771932024833e-05
meticulous,2019,1,16602,6.0233706782315383e-05
meticulous,2020,1,17289,5.784024524263983e-05
meticulous,2021,3,17118,0.0001752541184717841
meticulous,2022,3,17142,0.00017500875043752187
meticulous,2023,6,18003,0.0003332777870354941
meticulous,2024,8,19226,0.00041610319359201083
meticulous,2025,7,21869,0.0003200877955096255
meticulous,2026,2,12097,0.0001653302471687195
meticulously,2015,0,14938,0.0
meticulously,2016,0,15179,0.0
meticulously,2017,0,15137,0.0
meticulously,2018,1,15947,6.270771932024833e-05
meticulously,2019,0,16602,0.0
meticulously,2020,1,17289,5.784024524263983e-05
meticulously,2021,4,17118,0.00023367215796237878
meticulously,2022,1,17142,5.8336250145840624e-05
meticulously,2023,10,18003,0.0005554629783924901
meticulously,2024,12,19226,0.0006241547903880162
meticulously,2025,5,21869,0.0002286341396497325
meticulously,2026,0,12097,0.0
multifaceted,2015,3,14938,0.00020083009773731424
multifaceted,2016,1,15179,6.588049278608604e-05
multifaceted,2017,1,15137,6.606328863050802e-05
multifaceted,2018,1,15947,6.270771932024833e-05
multifaceted,2019,2,16602,0.00012046741356463077
multifaceted,2020,5,17289,0.00028920122621319916
multifaceted,2021,1,17118,5.8418039490594695e-05
multifaceted,2022,1,17142,5.8336250145840624e-05
multifaceted,2023,4,18003,0.00022218519135699605
multifaceted,2024,9,19226,0.00046811609279101215
multifaceted,2025,12,21869,0.000548721935159358
multifaceted,2026,4,12097,0.000330660494337439
myriad,2015,5,14938,0.0003347168295621904
myriad,2016,5,15179,0.0003294024639304302
myriad,2017,3,15137,0.00019818986589152407
myriad,2018,3,15947,0.00018812315796074496
myriad,2019,9,16602,0.0005421033610408384
myriad,2020,10,17289,0.0005784024524263983
myriad,2021,12,17118,0.0007010164738871364
myriad,2022,8,17142,0.000466690001166725
myriad,2023,10,18003,0.0005554629783924901
myriad,2024,12,19226,0.0006241547903880162
myriad,2025,7,21869,0.0003200877955096255
myriad,2026,4,12097,0.000330660494337439
notably,2015,61,14938,0.004083545320658723
notably,2016,68,15179,0.00447987350945385
notably,2017,60,15137,0.003963797317830481
notably,2018,63,15947,0.003950586317175644
notably,2019,92,16602,0.005541501023973015
notably,2020,93,17289,0.005379142807565504
notably,2021,109,17118,0.006367566304474822
notably,2022,130,17142,0.007583712518959281
notably,2023,214,18003,0.01188690773759929
notably,2024,401,19226,0.020857172578799543
notably,2025,485,21869,0.022177511546024053
notably,2026,200,12097,0.01653302471687195
nuanced,2015,2,14938,0.00013388673182487614
nuanced,2016,1,15179,6.588049278608604e-05
nuanced,2017,0,15137,0.0
nuanced,2018,3,15947,0.00018812315796074496
nuanced,2019,3,16602,0.00018070112034694616
nuanced,2020,1,17289,5.784024524263983e-05
nuanced,2021,5,17118,0.00029209019745297346
nuanced,2022,5,17142,0.00029168125072920315
nuanced,2023,6,18003,0.0003332777870354941
nuanced,2024,13,19226,0.0006761676895870176
nuanced,2025,21,21869,0.0009602633865288764
nuanced,2026,9,12097,0.0007439861122592378
observed,2015,3852,14938,0.2578658454947115
observed,2016,3959,15179,0.26082087094011464
observed,2017,3880,15137,0.2563255598863711
observed,2018,3946,15947,0.2474446604376999
observed,2019,4065,16602,0.24485001807011203
observed,2020,4386,17289,0.2536873156342183
observed,2021,4164,17118,0.2432527164388363
observed,2022,4095,17142,0.23888694434721736
observed,2023,4420,18003,0.24551463644948066
observed,2024,4815,19226,0.2504421096431915
observed,2025,5460,21869,0.2496684804975079
observed,2026,3075,12097,0.25419525502190626
obtained,2015,1919,14938,0.12846431918596868
obtained,2016,1958,15179,0.12899400487515647
obtained,2017,1884,15137,0.12446323577987713
obtained,2018,1906,15947,0.1195209130243933
obtained,2019,1921,16602,0.11570895072882785
obtained,2020,2039,17289,0.11793626004974261
obtained,2021,2059,17118,0.12028274331113448
obtained,2022,1920,17142,0.112005600280014
obtained,2023,1962,18003,0.10898183636060657
obtained,2024,2118,19226,0.11016332050348486
obtained,2025,1996,21869,0.09127074854817321
obtained,2026,1067,12097,0.08820368686451187
pivotal,2015,12,14938,0.000803320390949257
pivotal,2016,8,15179,0.0005270439422886883
pivotal,2017,13,15137,0.0008588227521966043
pivotal,2018,13,15947,0.0008152003511632282
pivotal,2019,13,16602,0.0007830381881701
pivotal,2020,11,17289,0.0006362426976690381
pivotal,2021,18,17118,0.0010515247108307045
pivotal,2022,36,17142,0.0021001050052502626
pivotal,2023,42,18003,0.0023329445092484585
pivotal,2024,101,19226,0.005253302819099136
pivotal,2025,103,21869,0.004709863276784489
pivotal,2026,45,12097,0.003719930561296189
plethora,2015,17,14938,0.0011380372205114474
plethora,2016,10,15179,0.0006588049278608604
plethora,2017,15,15137,0.0009909493294576203
plethora,2018,14,15947,0.0008779080704834765
plethora,2019,21,16602,0.001264907842428623
plethora,2020,33,17289,0.0019087280930071143
plethora,2021,24,17118,0.0014020329477742728
plethora,2022,26,17142,0.0015167425037918563
plethora,2023,32,18003,0.0017774815308559684
plethora,2024,23,19226,0.001196296681577031
plethora,2025,31,21869,0.0014175316658283415
plethora,2026,16,12097,0.001322641977349756
presented,2015,763,14938,0.05107778819119025
presented,2016,740,15179,0.04875156466170367
presented,2017,745,15137,0.04921715002972848
presented,2018,730,15947,0.04577663510378128
presented,2019,758,16602,0.04565714974099506
presented,2020,755,17289,0.04366938515819307
presented,2021,715,17118,0.04176889823577521
presented,2022,627,17142,0.036576828841442074
presented,2023,620,18003,0.03443870466033439
presented,2024,660,19226,0.034328513471340895
presented,2025,604,21869,0.027619004069687685
presented,2026,297,12097,0.024551541704554848
realm,2015,10,14938,0.0006694336591243808
realm,2016,15,15179,0.0009882073917912907
realm,2017,5,15137,0.00033031644315254015
realm,2018,10,15947,0.0006270771932024832
realm,2019,15,16602,0.0009035056017347307
realm,2020,14,17289,0.0008097634333969576
realm,2021,10,17118,0.0005841803949059469
realm,2022,7,17142,0.0004083537510208844
realm,2023,17,18003,0.0009442870632672333
realm,2024,16,19226,0.0008322063871840217
realm,2025,11,21869,0.0005029951072294114
realm,2026,5,12097,0.0004133256179217988
realms,2015,1,14938,6.694336591243807e-05
realms,2016,2,15179,0.00013176098557217208
